SchoolID,School,District,DistID
1,Baker Middle School,Baker SD 5J,1894
2,Brooklyn Primary School,Baker SD 5J,1894
4,Haines Elementary School,Baker SD 5J,1894
5,Keating Elementary School,Baker SD 5J,1894
7,South Baker Intermediate School,Baker SD 5J,1894
8,Baker High School,Baker SD 5J,1894
15,Pine Eagle Charter School,Pine Eagle SD 61,1897
16,Alsea Elementary School,Alsea SD 7J,1899
17,Alsea High School,Alsea SD 7J,1899
18,Blodgett Elementary School,Philomath SD 17J,1900
20,Philomath Elementary School,Philomath SD 17J,1900
21,Philomath Middle School,Philomath SD 17J,1900
22,Philomath High School,Philomath SD 17J,1900
27,Adams Elementary School,Corvallis SD 509J,1901
28,Cheldelin Middle School,Corvallis SD 509J,1901
30,Garfield Elementary School,Corvallis SD 509J,1901
33,Hoover Elementary School,Corvallis SD 509J,1901
35,Jefferson Elementary School,Corvallis SD 509J,1901
36,Lincoln Elementary School,Corvallis SD 509J,1901
37,Mt View Elementary School,Corvallis SD 509J,1901
38,Linus Pauling Middle School,Corvallis SD 509J,1901
39,Wilson Elementary School,Corvallis SD 509J,1901
40,Corvallis High School,Corvallis SD 509J,1901
41,Crescent Valley High School,Corvallis SD 509J,1901
42,Childrens Farm Home,Linn Benton Lincoln ESD,2098
43,Monroe High School,Monroe SD 1J,1898
45,Cedaroak Park Primary School,West Linn-Wilsonville SD 3J,1922
46,Inza R Wood Middle School,West Linn-Wilsonville SD 3J,1922
47,Stafford Primary School,West Linn-Wilsonville SD 3J,1922
48,Sunset Primary School,West Linn-Wilsonville SD 3J,1922
51,West Linn High School,West Linn-Wilsonville SD 3J,1922
53,Forest Hills Elementary School,Lake Oswego SD 7J,1923
54,Hallinan Elementary School,Lake Oswego SD 7J,1923
55,Lake Grove Elementary School,Lake Oswego SD 7J,1923
56,River Grove Elementary School,Lake Oswego SD 7J,1923
58,Westridge Elementary School,Lake Oswego SD 7J,1923
59,Lake Oswego Middle School,Lake Oswego SD 7J,1923
60,Lakeridge Middle School,Lake Oswego SD 7J,1923
61,Lake Oswego Senior High School,Lake Oswego SD 7J,1923
62,Lakeridge High School,Lake Oswego SD 7J,1923
65,Bilquist Elementary School,North Clackamas SD 12,1924
72,Whitcomb Elementary School,North Clackamas SD 12,1924
73,Milwaukie Elementary School,North Clackamas SD 12,1924
76,Riverside Elementary School,North Clackamas SD 12,1924
78,Sunnyside Elementary School,North Clackamas SD 12,1924
79,View Acres Elementary School,North Clackamas SD 12,1924
84,Rowe Middle School,North Clackamas SD 12,1924
85,Clackamas High School,North Clackamas SD 12,1924
86,Milwaukie High School,North Clackamas SD 12,1924
87,Putnam High School,North Clackamas SD 12,1924
88,Welches Elementary School,Oregon Trail SD 46,1926
90,Damascus Middle School,Gresham-Barlow SD 10J,2183
91,Deep Creek Elementary School,Gresham-Barlow SD 10J,2183
92,Carus School,Canby SD 86,1929
93,Clarkes Elementary School,Molalla River SD 35,1925
94,Molalla Elementary School,Molalla River SD 35,1925
95,Molalla River Middle School,Molalla River SD 35,1925
96,Naas Elementary School,Oregon Trail SD 46,1926
97,Boring Middle School,Oregon Trail SD 46,1926
99,Kelso Elementary School,Oregon Trail SD 46,1926
100,Sandy Grade School,Oregon Trail SD 46,1926
101,Firwood Elementary School,Oregon Trail SD 46,1926
102,Cedar Ridge Middle School,Oregon Trail SD 46,1926
103,Colton Elementary School,Colton SD 53,1927
104,Colton High School,Colton SD 53,1927
105,Beavercreek Elementary School,Oregon City SD 62,1928
106,Candy Lane Elementary School,Oregon City SD 62,1928
107,Holcomb Elementary School,Oregon City SD 62,1928
109,Gaffney Lane Elementary School,Oregon City SD 62,1928
110,Jennings Lodge Elementary School,Oregon City SD 62,1928
114,John McLoughlin Elementary School,Oregon City SD 62,1928
115,Gardiner Middle School,Oregon City SD 62,1928
116,Ogden Middle School,Oregon City SD 62,1928
118,Oregon City Senior High School,Oregon City SD 62,1928
119,Butte Creek Elementary School,Silver Falls SD 4J,2138
121,Mulino Elementary School,Molalla River SD 35,1925
122,William Knight Elementary School,Canby SD 86,1929
124,Howard Eccles Elementary School,Canby SD 86,1929
127,Ninety-One School,Canby SD 86,1929
128,Rural Dell Elementary School,Molalla River SD 35,1925
