Country,best at,year,detail / notes,source,extras,
Afghanistan,opium,2009,production,http://www.reuters.com/article/idUSTRE58144M20090902,,
Albania,Gypsies,2000,,http://www.nationmaster.com/graph/lan_rom_rom_spe_rom_pop_fro_tot_rom_pop_2000-speaking-roma-population-total-2000,,
Algeria,Liquid Propane Butane,-,,http://www.nationmaster.com/graph/eco_wor_tra_exp_liq_pro_but-trade-exports-liquid-propane-butane,,
Andorra,Foreign Prisoners,2003,,http://www.nationmaster.com/graph/cri_pri_for_pri-crime-prisoners-foreign,,
Angola,Infant Mortality,2008,,http://www.nationmaster.com/graph/hea_inf_mor_rat_tot-health-infant-mortality-rate-total ,,
Argentina,Horsemeat,2007,production,http://lumixcapital.com/yahoo_site_admin/assets/docs/McKinsey_Quarterly_-_Harvesting_Latin_Agribusiness.25814124.pdf,beef eaters,http://lumixcapital.com/yahoo_site_admin/assets/docs/McKinsey_Quarterly_-_Harvesting_Latin_Agribusiness.25814124.pdf
Armenia,Software Piracy,2007,,http://www.nationmaster.com/graph/cri_sof_pir_rat-crime-software-piracy-rate,,
Australia,Car Thefts,1998-2000,per capita,http://www.nationmaster.com/graph/cri_car_the_percap-crime-car-thefts-per-capita,,
Austria,Smokers,2005,,http://www.nationmaster.com/graph/hea_dai_smo-health-daily-smokers,,
Azerbaijan,Software piracy,2007,estimated worth of pirated software on nations computers,http://www.economist.com/research/articlesBySubject/displaystory.cfm?subjectid=7933596&story_id=9248524,,
Bahamas,Tourism,1995-2005,,http://www.nationmaster.com/graph/eco_int_tou_rec_of_tot_exp-international-tourism-receipts-total-exports,,
Bangladesh,Power cuts,2006,,http://www.nationmaster.com/graph/ene_ele_out_day-energy-electrical-outages-days,,
Barbados,,-,,,,
Belarus,Unemployed Women,2002,,http://www.nationmaster.com/graph/lab_une_wit_ter_edu_fem_of_fem_une-labor-unemployment-tertiary-education-female&date=2002,,
Belgium,Female MPs,2001,,http://www.nationmaster.com/graph/dem_fem_min-democracy-female-ministers,,
Belize,Mammals ,2002,(no. of species per capita),http://www.nationmaster.com/graph/env_kno_mam_spe_percap-known-mammal-species-per-capita,,
Benin,-,-,,,,
Bermuda,-,-,,,,
Bhutan,farm hands,-,,http://www.nationmaster.com/graph/agr_lab_sha-agriculture-labor-share,,
Bolivia,Brazil Nuts,2005,production,http://ec.europa.eu/external_relations/bolivia/csp/07_13_en.pdf,,
Bosnia and Herzegovina,Landmines,1995,,http://www.unicef.org/sowc96pk/hidekill.htm,,
Botswana,Diamonds,2005,production,http://news.bbc.co.uk/1/hi/world/africa/4318777.stm,,
Brazil,sugar,2008,sugar cane production - highest total,http://en.wikipedia.org/wiki/Sugarcane#Cane_ethanol,,
Brunei Darussalam,Rollercoasters,2006,rollercoasters per capita,http://www.nationmaster.com/graph/lif_rol_coa_percap-lifestyle-roller-coasters-per-capita,,
Bulgaria,Contraception,1995-2000,,http://www.nationmaster.com/graph/hea_con-health-contraception,,
Burkina Faso,Illiterate Women,2003,,http://www.nationmaster.com/graph/edu_ill_pop_by_sex_age_15_wom_percap-aged-15-women-per-capita,,
Burma,Rubies,2005,,http://discovermagazine.com/2005/dec/rubies-greenland-carat,,
Burundi,Farmland,2003,,http://www.nationmaster.com/graph/agr_agr_lan_of_lan_are-agriculture-agricultural-land-of-area,,
Cambodia,Buddhists,-,,http://en.wikipedia.org/wiki/Buddhism_by_country,,
Cameroon,Tax Rate ,2002,60%,http://www.nationmaster.com/graph/tax_hig_mar_tax_rat_ind_rat-highest-marginal-tax-rate-individual,,
